Code zone,Code Produit,Code année,Emission indirecte de NO2
14,5061,2015,0.0021
14,5061,2016,0.0014
14,5061,2017,0.0028
14,5061,2018,0.0012
14,5061,2019,0.0018
14,5062,2015,0.0094
14,5062,2016,0.0105
14,5062,2017,0.0102
14,5062,2018,0.0098
14,5062,2019,0.0099
14,5063,2015,0.0099
14,5063,2016,0.0107
14,5063,2017,0.0106
14,5063,2018,0.0103
14,5063,2019,0.0104
14,5064,2015,0.0
14,5064,2016,0.0
14,5064,2017,0.0
14,5064,2018,0.0
14,5064,2019,0.0
57,5061,2015,2.2664
57,5061,2016,1.7799
57,5061,2017,2.0778
57,5061,2018,2.0679
57,5061,2019,1.9752
57,5062,2015,1.328
57,5062,2016,1.3133
57,5062,2017,1.3253
57,5062,2018,1.2973
57,5062,2019,1.2758
57,5063,2015,0.3501
57,5063,2016,0.3444
57,5063,2017,0.3466
57,5063,2018,0.3433
57,5063,2019,0.3385
57,5064,2015,0.317
57,5064,2016,0.2772
57,5064,2017,0.299
57,5064,2018,0.2454
57,5064,2019,0.2812
255,5061,2015,0.905
255,5061,2016,0.8775
255,5061,2017,0.8705
255,5061,2018,0.8705
255,5061,2019,0.8728
255,5062,2015,0.9872
255,5062,2016,0.9579
255,5062,2017,0.9256
255,5062,2018,0.9508
255,5062,2019,0.9345
255,5063,2015,0.3111
255,5063,2016,0.3093
255,5063,2017,0.2982
255,5063,2018,0.3002
255,5063,2019,0.2977
255,5064,2015,0.1405
255,5064,2016,0.1078
255,5064,2017,0.1287
255,5064,2018,0.1139
255,5064,2019,0.1322
23,5061,2015,0.09
23,5061,2016,0.0859
23,5061,2017,0.0693
23,5061,2018,0.0547
23,5061,2019,0.07
23,5062,2015,0.0067
23,5062,2016,0.0068
23,5062,2017,0.0071
23,5062,2018,0.0066
23,5062,2019,0.0067
23,5063,2015,0.0306
23,5063,2016,0.0338
23,5063,2017,0.0351
23,5063,2018,0.0363
23,5063,2019,0.0373
23,5064,2015,0.0037
23,5064,2016,0.0038
23,5064,2017,0.0049
23,5064,2018,0.0043
23,5064,2019,0.0037
53,5061,2015,0.0009
53,5061,2016,0.0724
53,5061,2017,0.0002
53,5061,2018,0.2454
53,5061,2019,0.106
53,5062,2015,0.0864
53,5062,2016,0.08900000000000001
53,5062,2017,0.092
53,5062,2018,0.0951
53,5062,2019,0.09699999999999999
53,5063,2015,0.9368
53,5063,2016,0.9595
53,5063,2017,0.9838
53,5063,2018,1.0087
53,5063,2019,1.0239
53,5064,2015,0.0834
53,5064,2016,0.0898
53,5064,2017,0.0943
53,5064,2018,0.1204
53,5064,2019,0.1084
17,5061,2015,0.0002
17,5061,2016,0.0001
17,5061,2017,0.0001
17,5061,2018,0.0002
17,5061,2019,0.0001
17,5064,2015,0.0
17,5064,2016,0.0
17,5064,2017,0.0
17,5064,2018,0.0
17,5064,2019,0.0
18,5061,2015,0.0047
18,5061,2016,0.004
18,5061,2017,0.0065
18,5061,2018,0.0144
18,5061,2019,0.0083
18,5062,2015,0.0131
18,5062,2016,0.0138
18,5062,2017,0.013999999999999999
18,5062,2018,0.0138
18,5062,2019,0.013999999999999999
18,5063,2015,0.0429
18,5063,2016,0.0429
18,5063,2017,0.043
18,5063,2018,0.0436
18,5063,2019,0.0444
18,5064,2015,0.006999999999999999
18,5064,2016,0.0072
18,5064,2017,0.0077
18,5064,2018,0.0051
18,5064,2019,0.0043
19,5061,2015,0.1181
19,5061,2016,0.1027
19,5061,2017,0.0726
19,5061,2018,0.0726
