Code zone,Code Produit,Code année,Emission de CO2
12,6993,2015,0.0
12,6993,2016,0.0
12,6993,2017,0.0
12,6993,2018,0.0
12,6993,2019,0.0
12,6994,2015,63.4816
12,6994,2016,50.2323
12,6994,2017,53.7422
12,6994,2018,60.725
12,6994,2019,58.1213
13,6750,2015,0.0
13,6750,2016,0.0
13,6750,2017,0.0
13,6750,2018,0.0
13,6750,2019,0.0
13,6751,2015,-2.8947
13,6751,2016,-2.8889
13,6751,2017,-2.8889
13,6751,2018,-2.8889
13,6751,2019,-2.8889
13,6993,2015,0.0
13,6993,2016,0.0
13,6993,2017,0.0
13,6993,2018,0.0
13,6993,2019,0.0
13,6994,2015,189.4088
13,6994,2016,183.1229
13,6994,2017,172.4859
13,6994,2018,164.1293
13,6994,2019,158.0465
16,67292,2015,21730.9293
16,67292,2016,21746.8983
16,67292,2017,21750.4549
16,67292,2018,21736.09
16,67292,2019,21736.09
16,6750,2015,2907.5209
16,6750,2016,0.0
16,6750,2017,0.0
16,6750,2018,0.0
16,6750,2019,0.0
16,6751,2015,-2749.7611
16,6751,2016,0.0
16,6751,2017,0.0
16,6751,2018,0.0
16,6751,2019,0.0
16,6993,2015,730.3507
16,6993,2016,223.7326
16,6993,2017,119.5908
16,6993,2018,84.8635
16,6993,2019,2.5721
16,6994,2015,3183.4412
16,6994,2016,3232.1346
16,6994,2017,3568.6363
16,6994,2018,3677.8851
16,6994,2019,3745.6542
14,6750,2015,0.0
14,6750,2016,0.0
14,6750,2017,0.0
14,6750,2018,0.0
14,6750,2019,0.0
14,6751,2015,-0.8475
14,6751,2016,-1.8328
14,6751,2017,-1.8328
14,6751,2018,-1.8328
14,6751,2019,-1.8328
14,6993,2015,0.0
14,6993,2016,0.0
14,6993,2017,0.0
14,6993,2018,0.0
14,6993,2019,0.0
14,6994,2015,11.1766
14,6994,2016,11.2044
14,6994,2017,11.3062
14,6994,2018,11.4131
14,6994,2019,10.3894
57,67292,2015,22398.401
57,67292,2016,22202.0808
57,67292,2017,22107.6708
57,67292,2018,22040.0079
57,67292,2019,22040.0079
57,6750,2015,3516.8203
57,6750,2016,0.0
57,6750,2017,0.0
57,6750,2018,0.0
57,6750,2019,0.0
57,6751,2015,-42335.4903
57,6751,2016,-43554.3753
57,6751,2017,-43554.3753
57,6751,2018,-43554.3753
57,6751,2019,-43554.3753
57,6993,2015,1397.6175
57,6993,2016,40.9627
57,6993,2017,58.5157
57,6993,2018,683.3788
57,6993,2019,374.2738
57,6994,2015,2178.469
57,6994,2016,2190.5541
57,6994,2017,2454.1307
57,6994,2018,2591.7981
57,6994,2019,2662.8143
255,67292,2015,160.7082
255,67292,2016,160.2698
255,67292,2017,159.4408
255,67292,2018,159.3106
255,67292,2019,159.3106
255,6750,2015,2355.3288
