Code Produit,Code année,Emission de ch4,Emission de CO2,Emission de N2O,Emission indirecte de NO2
5059,2015,6.0046,,,
5059,2016,5.9074,,,
5059,2017,5.8285,,,
5059,2018,5.7195,,,
5059,2019,5.6612,,,
5060,2015,0.3349,,,
5060,2016,0.7028,,,
5060,2017,1.4288,,,
5060,2018,1.1295,,,
5060,2019,1.1225,,,
5066,2015,0.6815,,,
5066,2016,0.7384,,,
5066,2017,0.7476,,,
5066,2018,0.8237,,,
5066,2019,0.818,,,
6795,2015,1.1896,,,
6795,2016,0.2131,,,
6795,2017,0.6373,,,
6795,2018,0.4133,,,
6795,2019,1.0029,,,
6992,2015,0.005,,,
6992,2016,0.0,,,
6992,2017,0.0897,,,
6992,2018,0.0623,,,
6992,2019,0.01,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.1021,1115.5923,,
6994,2016,0.1009,1035.7704,,
6994,2017,0.0848,1066.753,,
6994,2018,0.0885,1172.9109,,
6994,2019,0.0859,1179.6027,,
5058,2015,0.1659,,,
5058,2016,0.1648,,,
5058,2017,0.1652,,,
5058,2018,0.1654,,,
5058,2019,0.1656,,,
5059,2015,0.0713,,,
5059,2016,0.0715,,,
5059,2017,0.0697,,,
5059,2018,0.07,,,
5059,2019,0.0704,,,
5066,2015,0.0044,,,
5066,2016,0.0044,,,
5066,2017,0.0045,,,
5066,2018,0.0045,,,
5066,2019,0.0045,,,
6795,2015,0.1631,,,
6795,2016,0.187,,,
6795,2017,0.312,,,
6795,2018,0.035,,,
6795,2019,0.0457,,,
6992,2015,0.2971,,,
6992,2016,0.6746,,,
6992,2017,1.3931,,,
6992,2018,0.1248,,,
6992,2019,0.2745,,,
69921,2015,0.1705,,,
69921,2016,0.5281,,,
69921,2017,1.2913,,,
69921,2018,0.1248,,,
69921,2019,0.2745,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.2013,63.4816,,
6994,2016,0.1593,50.2323,,
6994,2017,0.1704,53.7422,,
6994,2018,0.1926,60.725,,
6994,2019,0.1843,58.1213,,
5058,2015,0.7451,,,
5058,2016,0.7673,,,
5058,2017,0.7574,,,
5058,2018,0.7771,,,
5058,2019,0.8029999999999999,,,
5059,2015,0.1031,,,
5059,2016,0.1594,,,
5059,2017,0.2172,,,
5059,2018,0.2299,,,
5059,2019,0.2332,,,
6992,2015,0.0,,,
6992,2016,0.0,,,
6992,2017,0.0,,,
6992,2018,0.0,,,
6992,2019,0.0,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.0359,189.4088,,
6994,2016,0.0335,183.1229,,
6994,2017,0.0307,172.4859,,
6994,2018,0.0291,164.1293,,
6994,2019,0.0276,158.0465,,
5058,2015,1135.932,,,
5058,2016,1138.6306,,,
5058,2017,1161.1158,,,
5058,2018,1169.3973,,,
5058,2019,1178.3777,,,
5059,2015,84.4499,,,
5059,2016,84.735,,,
5059,2017,85.9893,,,
