Code Produit,Code année,Emission de N2O,Emission indirecte de NO2
5063,2015,0.098,0.0213
5063,2016,0.10099999999999999,0.022000000000000002
5063,2017,0.0962,0.0209
5063,2018,0.1023,0.0222
5063,2019,0.0954,0.0207
5064,2015,0.0005,0.0001
5064,2016,0.0005,0.0001
5064,2017,0.0005,0.0001
5064,2018,0.0004,0.0001
5064,2019,0.0004,0.0001
5061,2015,5.1786,1.683
5061,2016,5.2426,1.7038
5061,2017,5.2575,1.7087
5061,2018,5.2575,1.7087
5061,2019,5.2525,1.7071
5062,2015,0.5947,0.2527
5062,2016,0.6008,0.2554
5062,2017,0.6265,0.2662
5062,2018,0.6296,0.2676
5062,2019,0.6018,0.2558
5063,2015,0.5657,0.19699999999999998
5063,2016,0.5605,0.1952
5063,2017,0.5575,0.1933
5063,2018,0.5172,0.1774
5063,2019,0.4878,0.166
5064,2015,1.5124,0.3403
5064,2016,1.5651,0.3522
5064,2017,1.6718,0.3761
5064,2018,1.7301,0.3893
5064,2019,1.8852,0.4242
5061,2015,0.8029,0.2609
5061,2016,1.0629,0.3454
5061,2017,0.9159999999999999,0.2977
5061,2018,0.8903,0.2893
5061,2019,0.9564,0.3108
5062,2015,0.8918,0.379
5062,2016,0.9134,0.3882
5062,2017,0.9322,0.3962
5062,2018,0.9517,0.4045
5062,2019,0.9721,0.4131
5063,2015,17.7995,4.961
5063,2016,18.1973,5.0799
5063,2017,18.61,5.202999999999999
5063,2018,19.037,5.3302
5063,2019,19.4222,5.4455
5064,2015,0.8909,0.2005
5064,2016,0.9954,0.22399999999999998
5064,2017,0.9222,0.2075
5064,2018,1.1176,0.2515
5064,2019,1.0823,0.2435
5061,2015,0.0726,0.0236
5061,2016,0.1271,0.0413
5061,2017,0.1595,0.0518
5061,2018,0.2115,0.0687
5061,2019,0.166,0.054000000000000006
5062,2015,0.1495,0.0635
5062,2016,0.1635,0.0695
5062,2017,0.1796,0.0763
5062,2018,0.2149,0.0913
5062,2019,0.2155,0.0916
5063,2015,1.6582,0.4851
5063,2016,1.8362,0.5628
5063,2017,2.3229,0.6940000000000001
5063,2018,2.2932,0.6702
5063,2019,1.8756,0.5874
5064,2015,0.1246,0.027999999999999997
5064,2016,0.1988,0.0447
5064,2017,0.1858,0.0418
5064,2018,0.2062,0.0464
5064,2019,0.2748,0.0618
5062,2015,0.0223,0.0095
5062,2016,0.0225,0.0096
5062,2017,0.0178,0.0076
5062,2018,0.0177,0.0075
5062,2019,0.0182,0.0077
5063,2015,0.0966,0.0323
5063,2016,0.0978,0.0328
5063,2017,0.0842,0.0251
5063,2018,0.0842,0.0251
5063,2019,0.0848,0.0253
5064,2015,0.0032,0.0007
5064,2016,0.0029,0.0007
5064,2017,0.0022,0.0005
5064,2018,0.0023,0.0005
5064,2019,0.002,0.0005
5061,2015,1.2706,0.413
5061,2016,0.8745,0.2842
5061,2017,1.8066,0.5872
5061,2018,2.0081,0.6526
5061,2019,1.5631,0.508
5062,2015,0.9191,0.3906
5062,2016,0.9242,0.3928
5062,2017,0.9197,0.3909
5062,2018,0.9054,0.3848
5062,2019,0.9007,0.3828
5063,2015,2.4913,0.5332
