Code zone,Code Produit,Code année,Emission de ch4
14,6994,2016,0.0051
14,6994,2017,0.0049
14,6994,2018,0.0046
14,6994,2019,0.0043
57,5058,2015,321.7108
57,5058,2016,317.7241
57,5058,2017,321.2175
57,5058,2018,319.2886
57,5058,2019,316.5092
57,5059,2015,51.9711
57,5059,2016,50.9562
57,5059,2017,51.2101
57,5059,2018,50.0731
57,5059,2019,49.403999999999996
57,5066,2015,0.9274
57,5066,2016,1.1026
57,5066,2017,1.1265
57,5066,2018,1.1841
57,5066,2019,1.263
57,6795,2015,0.5739
57,6795,2016,0.0449
57,6795,2017,0.0189
57,6795,2018,0.2778
57,6795,2019,0.1489
57,6992,2015,0.3922
57,6992,2016,0.1574
57,6992,2017,0.01
57,6992,2018,1.0674
57,6992,2019,0.2298
57,69921,2015,0.0
57,69921,2016,0.0
57,69921,2017,0.0
57,69921,2018,0.0
57,69921,2019,0.0
57,6993,2015,9.4789
57,6993,2016,0.2778
57,6993,2017,0.3969
57,6993,2018,4.6348
57,6993,2019,2.5384
57,6994,2015,0.4383
57,6994,2016,0.4129
57,6994,2017,0.4381
57,6994,2018,0.4334
57,6994,2019,0.4259
255,5058,2015,185.5522
255,5058,2016,185.1259
255,5058,2017,177.8557
255,5058,2018,179.3048
255,5058,2019,178.217
255,5059,2015,65.5128
255,5059,2016,64.3248
255,5059,2017,62.8009
255,5059,2018,64.0885
255,5059,2019,63.1046
255,5066,2015,0.3754
255,5066,2016,0.3634
255,5066,2017,0.3457
255,5066,2018,0.3571
255,5066,2019,0.3514
255,6795,2016,0.001
255,6992,2015,0.0
255,6992,2016,0.0
255,6992,2017,0.0
255,6992,2018,0.0
255,6992,2019,0.0
255,69921,2015,0.0
255,69921,2016,0.0
255,69921,2017,0.0
255,69921,2018,0.0
255,69921,2019,0.0
255,6993,2015,0.0
255,6993,2016,0.0
255,6993,2017,0.0
255,6993,2018,0.0
255,6993,2019,0.0
255,6994,2015,0.2265
255,6994,2016,0.2357
255,6994,2017,0.2423
255,6994,2018,0.2424
255,6994,2019,0.2443
23,5058,2015,5.7538
23,5058,2016,6.3717
23,5058,2017,6.6966
23,5058,2018,6.8676
23,5058,2019,7.0753
23,5059,2015,0.1711
23,5059,2016,0.1822
23,5059,2017,0.1893
23,5059,2018,0.1937
23,5059,2019,0.1983
23,5060,2015,0.0836
23,5060,2016,0.095
23,5060,2017,0.1112
23,5060,2018,0.0761
23,5060,2019,0.0677
23,5066,2015,0.1114
23,5066,2016,0.1243
23,5066,2017,0.1243
23,5066,2018,0.1244
23,5066,2019,0.1316
23,6795,2015,0.3078
23,6795,2016,0.2986
23,6795,2017,0.2622
23,6795,2018,0.2135
23,6795,2019,0.4635
23,6992,2015,0.8514
23,6992,2016,0.7123
23,6992,2017,1.5242
23,6992,2018,0.4111
23,6992,2019,1.2812
23,69921,2015,0.8514
23,69921,2016,0.7123
23,69921,2017,1.5242
23,69921,2018,0.4111
23,69921,2019,1.2812
23,6993,2015,17.0424
23,6993,2016,14.3172
23,6993,2017,7.2442
23,6993,2018,14.3072
23,6993,2019,25.096
23,6994,2015,0.009000000000000001
23,6994,2016,0.0081
23,6994,2017,0.006999999999999999
23,6994,2018,0.006
23,6994,2019,0.0058
53,5058,2015,92.8355
53,5058,2016,95.1919
53,5058,2017,97.6256
53,5058,2018,100.1043
53,5058,2019,101.4404
53,5059,2015,3.943
53,5059,2016,4.0543
53,5059,2017,4.1706
53,5059,2018,4.2887
53,5059,2019,4.3792
53,5060,2015,1.8285
53,5060,2016,2.3058
53,5060,2017,2.2111
53,5060,2018,3.7852
53,5060,2019,3.1841
53,5066,2015,2.8082
53,5066,2016,2.8243
53,5066,2017,3.0896
53,5066,2018,3.3279
53,5066,2019,2.8701
53,6795,2015,12.4817
53,6795,2016,14.4387
53,6795,2017,12.0025
53,6795,2018,10.7692
53,6795,2019,12.5485
53,6992,2015,0.2095
53,6992,2016,0.2282
53,6992,2017,0.6349
53,6992,2018,0.5664
53,6992,2019,1.0955
53,69921,2015,0.2095
53,69921,2016,0.2282
53,69921,2017,0.6349
53,69921,2018,0.5664
53,69921,2019,1.0955
53,6993,2015,0.0
53,6993,2016,0.0
53,6993,2017,0.0
53,6993,2018,0.0
53,6993,2019,0.0
53,6994,2015,0.2508
53,6994,2016,0.3954
53,6994,2017,0.3953
53,6994,2018,0.43
53,6994,2019,0.4638
17,6992,2015,0.0
17,6992,2016,0.0
17,6992,2017,0.0
17,6992,2018,0.0
17,6992,2019,0.0
17,69921,2015,0.0
17,69921,2016,0.0
17,69921,2017,0.0
17,69921,2018,0.0
17,69921,2019,0.0
17,6993,2015,0.0
17,6993,2016,0.0
17,6993,2017,0.0
17,6993,2018,0.0
17,6993,2019,0.0
17,6994,2015,0.0982
17,6994,2016,0.1466
17,6994,2017,0.0945
17,6994,2018,0.1287
17,6994,2019,0.1319
18,5058,2015,13.2654
18,5058,2016,13.2204
18,5058,2017,13.2255
18,5058,2018,13.1218
18,5058,2019,13.295
18,5059,2015,1.0949
18,5059,2016,1.0958
18,5059,2017,1.1028
18,5059,2018,1.099
18,5059,2019,1.1101
18,5060,2015,2.2981
18,5060,2016,2.4719
18,5060,2017,2.4399
18,5060,2018,1.7356
18,5060,2019,1.411
18,5066,2015,0.0939
18,5066,2016,0.0954
18,5066,2017,0.106
18,5066,2018,0.0639
18,5066,2019,0.0548
18,6795,2015,0.0436
18,6795,2016,0.0206
18,6795,2017,0.043
18,6795,2018,0.0173
18,6795,2019,0.0173
18,6992,2015,0.7398
18,6992,2016,0.3649
18,6992,2017,0.2059
18,6992,2018,0.1103
18,6992,2019,0.0319
18,69921,2015,0.2454
18,69921,2016,0.0395
18,69921,2017,0.027000000000000003
18,69921,2018,0.0333
18,69921,2019,0.0021
18,6993,2015,0.0
